7617,404,541,0
7633,453,580,0
7650,456,567,0
7666,418,547,0
7684,466,560,0
7700,471,553,0
7716,607,661,1
7733,495,507,1
7750,706,550,1
7767,508,542,1
7783,523,587,1
7799,506,605,1
7817,569,587,1
7833,525,574,1
7849,454,568,0
7866,460,564,0
7883,411,560,0
7900,405,560,0
7916,456,565,0
7932,444,552,0
7950,796,634,1
7966,499,503,1
7983,427,569,0
7999,528,545,1
8016,671,558,1
8033,500,581,1
8049,584,615,1
8066,538,577,1
8083,504,578,1
8099,488,569,1
8116,484,560,0
8132,438,569,0
8150,407,569,0
8166,407,575,0
8182,446,569,0
8199,468,597,0
8216,428,547,0
8232,438,540,0
8249,563,516,1
8265,609,580,1
8283,579,589,1
8299,517,529,1
8315,509,570,1
8332,557,610,1
8349,533,600,1
8366,496,575,1
8382,460,560,0
8398,428,562,0
8416,419,564,0
8432,405,572,0
8449,457,555,0
8465,453,568,0
8482,439,537,0
8499,835,564,1
8515,700,553,1
8531,564,530,1
8549,578,565,1
8565,582,584,1
8582,501,616,1
8598,531,566,1
8615,473,572,0
8632,441,555,0
8648,395,553,0
8665,436,580,0
8682,459,571,0
8698,448,565,0
8715,442,548,0
8731,780,554,1
8749,677,534,1
8765,590,570,1
8781,602,572,1
8798,532,585,1
8815,501,594,1
8832,557,604,1
8848,504,568,1
8864,468,565,0
8882,461,583,0
8898,383,566,0
8914,413,569,0
8931,461,562,0
8948,449,555,0
8965,433,535,0
8981,502,514,1
8997,614,592,1
9015,539,565,1
9031,593,569,1
9048,576,563,1
9064,496,632,1
9081,523,556,1
9098,489,580,1
9114,502,565,1
9131,500,582,1
9148,484,562,0
9164,440,554,0
9181,390,579,0
9197,406,582,0
9214,471,576,0
9231,450,570,0
9247,434,559,0
9264,467,560,0
9281,477,547,0
9297,459,539,0
9314,841,529,1
9330,534,550,1
9348,635,557,1
9364,582,554,1
9380,499,575,1
9397,556,585,1
9414,554,595,1
9431,494,589,1
9447,493,558,1
9463,492,584,1
9481,512,582,1
9497,509,572,1
9513,472,576,0
9530,449,567,0
9547,392,587,0
9564,403,583,0
9580,434,571,0
9596,459,560,0
9614,446,563,0
9630,469,544,0
9647,474,541,0
9663,609,419,1
9680,431,488,0
9697,607,597,1
9713,549,512,1
9730,583,579,1
9747,462,569,0
9763,478,598,0
9780,450,567,0
9796,501,588,1
9814,542,550,1
9830,550,584,1
9846,524,575,1
9863,514,604,1
9880,547,592,1
9896,506,586,1
9913,467,563,0
9929,414,561,0
9947,409,589,0
9963,431,554,0
9979,452,566,0
9996,784,630,1
10013,519,527,1
10031,634,548,1
10048,589,538,1
10065,587,564,1
10084,407,638,0
10101,493,551,1
10119,486,566,1
10136,518,581,1
10155,556,576,1
10172,487,580,1
10189,484,561,0
10207,427,567,0
10225,439,571,0
10243,455,585,0
10260,453,565,0
10277,466,555,0
10296,473,545,0
10313,516,559,1
10331,721,517,1
10349,454,508,0
10366,477,596,0
10384,537,596,1
10401,522,562,1
10420,515,564,1
10437,524,611,1
10455,544,597,1
10472,469,563,0
10490,431,567,0
10508,401,587,0
10525,447,562,0
10543,515,558,1
10561,777,564,1
10578,519,530,1
10596,574,617,1
10614,522,589,1
10632,550,568,1
10649,445,573,0
10667,480,548,0
10685,459,580,0
10702,509,576,1
10720,609,583,1
10737,586,584,1
10756,558,584,1
